SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523260,PEARL POLYME,T ,Q,25.00,25.20,23.55,25.20,25.20,24.75,11,2065,51570.00,
523261,VENKEY'S (I),B ,Q,3972.00,4108.00,3948.00,4049.25,4049.25,3980.45,2501,20807,83828745.00,
523269,ADVANI HOTEL,B ,Q,56.00,56.55,54.80,56.55,56.55,55.95,8,1260,69605.00,
523277,G.V.FILMS   ,X ,Q,0.70,0.70,0.67,0.69,0.68,0.68,50,37498,25463.00,
523283,SUPER HOUSE ,B ,Q,136.00,136.00,131.60,135.05,135.00,134.40,77,5970,793747.00,
523301,TCPL PACK   ,B ,Q,602.00,603.00,596.50,603.00,603.00,604.95,7,71,42648.00,
523319,BALMER LAWRI,B ,Q,220.00,223.45,219.10,220.50,220.50,220.50,289,16469,3641591.00,
523323,KOVAI MEDI. ,T ,Q,1215.10,1255.00,1215.10,1226.35,1223.00,1249.85,27,248,304681.00,
523329,ELDECO HOUS.,X ,Q,1832.10,1897.00,1832.10,1870.20,1870.20,1900.75,14,192,357419.00,
523367,DCMSHRIRAM  ,B ,Q,453.75,468.90,453.75,464.95,461.00,448.55,410,9764,4531313.00,
523369,DCM SHR.IND ,X ,Q,209.90,211.90,203.40,206.55,208.95,209.25,126,4144,860290.00,
523371,MAWANA SUGAR,B ,Q,47.40,48.50,46.70,48.15,48.15,47.90,127,12155,580359.00,
523384,MAH.RAS.APEX,T ,Q,147.00,156.80,147.00,148.30,148.25,150.15,32,4048,604008.00,
523385,NILKAMAL L  ,A ,Q,1580.80,1625.00,1576.35,1610.20,1600.15,1582.45,481,3713,5983824.00,
523387,TRITON CORP.,XT,Q,0.31,0.31,0.31,0.31,0.31,0.31,1,1,0.00,
523391,NAHAR POLY  ,B ,Q,57.75,57.80,56.05,56.85,56.85,55.95,14,902,51130.00,
523395,3M INDIA LTD,B ,Q,20134.95,20250.00,19976.55,20111.50,20078.00,20017.20,87,175,3524404.00,
523398,JCHAC       ,B ,Q,2569.00,2584.75,2522.35,2554.50,2569.50,2562.85,56,444,1131129.00,
523405,JM FINANCIAL,A ,Q,137.35,140.00,134.35,138.80,138.80,137.35,1333,121848,16647731.00,
523411,ADCINDIA    ,X ,Q,223.50,228.80,215.50,216.60,216.60,219.30,12,370,82843.00,
523419,TAMIL.TELE. ,T ,Q,3.09,3.24,2.94,3.24,3.24,3.09,4,2672,7915.00,
523445,REL INDL INF,B ,Q,452.25,468.40,452.25,462.50,462.50,461.00,4517,162921,75192073.00,
523457,LINDEINDIA  ,A ,Q,451.55,456.90,448.60,453.35,453.90,449.05,65,1068,482312.00,
523465,IND.BANK HSG,T ,Q,45.25,49.70,45.25,49.55,49.70,47.35,21,2195,105614.00,
523467,JAIMATA GLAS,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,1,1,0.00,
523475,LOTUS CHOC  ,XT,Q,49.50,49.50,47.45,47.45,47.45,49.90,8,1875,91018.00,
523483,PACIFIC IND.,X ,Q,144.00,144.00,144.00,144.00,144.00,151.00,1,1,144.00,
523489,CMM HOSPITAL,XT,Q,19.25,19.25,18.75,19.25,19.25,18.90,4,427,8134.00,
523523,RAINBOW PAP.,T ,Q,2.33,2.54,2.32,2.53,2.54,2.42,45,67074,165115.00,
523537,APM INDUS.  ,X ,Q,53.55,54.80,53.00,54.45,54.45,54.05,41,6671,356146.00,
523539,PRECISION WR,B ,Q,279.00,290.00,279.00,288.30,288.00,281.50,68,2179,627727.00,
523550,KRYPTON IND ,X ,Q,11.10,11.10,11.10,11.10,11.10,11.10,2,2000,22200.00,
523558,NETWORK LTD.,XT,Q,5.15,5.15,5.15,5.15,5.15,5.42,5,1067,5495.00,
523566,MARTIN BURN ,X ,Q,53.00,53.85,52.00,53.15,53.85,52.00,177,12331,650232.00,
523574,FEL         ,B ,Q,37.15,37.50,36.75,37.15,37.15,37.15,185,46367,1723847.00,
523586,IND.TONERS  ,X ,Q,246.95,250.00,242.30,247.95,250.00,244.35,121,6411,1573763.00,
